#! FIELDS time phi omega psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_omega -pi
#! SET max_omega pi
#! SET min_psi -pi
#! SET max_psi pi
 275.000000 -1.326473 0.100391 3.043855
 276.000000 -1.404615 -0.091098 2.894619
 277.000000 -1.687357 -0.007860 -3.136785
 278.000000 -0.985001 -0.479133 3.001364
 279.000000 -1.453772 -0.124381 2.985590
 280.000000 -1.252548 -0.417952 2.974460
 281.000000 -0.960974 -0.427523 2.907786
 282.000000 -2.148774 0.477192 -2.887781
 283.000000 -1.185408 -0.272584 3.068463
 284.000000 -1.011171 -0.238698 2.991421
 285.000000 -1.159787 -0.344359 2.803829
 286.000000 -2.032237 0.428761 -2.993867
 287.000000 -1.453250 -0.211225 3.057891
 288.000000 -1.070830 -0.386858 2.770239
 289.000000 -1.270345 -0.112356 2.773818
 290.000000 -1.271007 -0.108683 2.903481
 291.000000 -1.158324 -0.575169 -3.020778
 292.000000 -1.224705 -0.171712 -3.040324
 293.000000 -1.177986 -0.317158 -3.105931
 294.000000 -0.893560 -0.302614 3.114693
 295.000000 -1.327283 -0.099581 3.074973
 296.000000 -1.483914 -0.099954 3.033194
 297.000000 -1.282931 -0.189254 2.741612
 298.000000 -1.158489 -0.102783 2.949513
 299.000000 -1.073629 -0.357194 2.989983
 300.000000 -0.880496 -0.720431 2.914295
 301.000000 -1.789639 -0.064068 3.098352
 302.000000 -0.941147 -0.267119 2.748569
 303.000000 -1.279576 -0.297398 2.895617
 304.000000 -1.001178 -0.012688 2.754780
 305.000000 -1.641974 0.307164 3.099024
 306.000000 -1.844108 0.045897 2.979330
 307.000000 -0.949085 -0.607213 2.940189
 308.000000 -1.233435 -0.456179 -3.080265
 309.000000 -1.050239 -0.300498 3.029820
 310.000000 -0.995512 -0.474440 2.813430
 311.000000 -1.276702 -0.197990 2.946575
 312.000000 -1.246149 -0.325600 2.832125
 313.000000 -0.812024 -0.547787 3.033616
 314.000000 -1.205909 -0.297467 -3.076510
 315.000000 -1.462226 0.081075 -2.982054
 316.000000 -1.112447 -0.238856 2.859378
 317.000000 -1.996791 0.063387 -2.963604
 318.000000 -1.889249 0.233940 3.110922
 319.000000 -1.286361 -0.231455 3.071662
 320.000000 -0.864652 -0.481488 2.981666
 321.000000 -1.800942 0.054670 -2.566989
 322.000000 -1.551812 -0.146673 2.890421
 323.000000 -1.059924 -0.180324 2.814269
 324.000000 -1.331882 -0.293039 -3.068617
 325.000000 -1.078643 -0.325501 2.912133
 326.000000 -1.377054 -0.005304 2.774808
 327.000000 -1.382576 -0.096987 -3.115381
 328.000000 -1.331627 -0.089242 2.875272
 329.000000 -0.922339 -0.331920 2.682275
 330.000000 -1.265311 -0.294442 2.890673
 331.000000 -1.452208 -0.007044 3.066609
 332.000000 -0.823511 -0.468199 2.902353
 333.000000 -1.360729 -0.100762 -2.857227
 334.000000 -1.157066 -0.169450 2.866435
 335.000000 -1.217365 -0.091468 2.940875
 336.000000 -1.151843 -0.534742 3.104879
 337.000000 -1.283023 -0.075487 3.001794
 338.000000 -1.117672 -0.374727 3.026576
 339.000000 -1.266939 -0.241426 3.066720
 340.000000 -1.322632 -0.154151 3.128029
 341.000000 -1.194313 -0.178341 2.806016
 342.000000 -0.854265 -0.746188 -2.972783
 343.000000 -1.232849 -0.129671 -3.075183
 344.000000 -1.123247 -0.419286 2.917288
 345.000000 -1.074858 -0.418840 2.906603
